match_name,match_level,match_date,shooter,div,class,power_factor,cat,stg,factor,pts,a,c,d,ded,mi,ns,pe,ot,time
2025_MA5_2,2,2025-02-23,"COLASANTI, LUIGI",S,B,Minor,S,Stage 5,3.699,58,11,1,0,0,0,0,0,,15.68
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 3,5.155,148,26,6,0,0,0,0,0,,28.71
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 4,4.2211,97,19,4,0,0,1,0,0,,22.98
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 5,2.3203,41,10,0,1,0,1,0,0,,17.67
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 6,4.3522,43,10,1,0,0,1,0,0,,9.88
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 5,4.6823,56,11,0,1,0,0,0,0,,11.96
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 4,6.2189,100,17,4,3,0,0,0,0,,16.08
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 3,7.1,142,23,9,0,0,0,0,0,,20.0
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 2,2.6706,54,9,3,0,0,0,0,0,,20.22
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 1,5.1609,93,17,6,0,0,1,0,0,,18.02
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 8,4.0188,154,30,1,1,0,0,0,0,,38.32
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 7,2.4349,58,11,1,0,0,0,0,0,,23.82
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 6,2.7256,58,11,1,0,0,0,0,0,,21.28
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 5,2.4226,54,9,3,0,0,0,0,0,,22.29
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 4,3.1373,112,21,2,1,0,0,0,0,,35.7
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 3,3.0987,140,23,8,1,0,0,0,0,,45.18
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 2,1.5851,56,11,0,1,0,0,0,0,,35.33
2025_MA5_2,2,2025-02-23,"CORTELLI, FABIO",PO,C,Minor,SS,Stage 1,3.0609,106,19,3,2,0,0,0,0,,34.63
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 8,4.7158,156,30,2,0,0,0,0,0,,33.08
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 7,2.0374,48,11,1,0,0,0,1,0,,23.56
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 6,1.7162,26,8,2,0,0,2,0,0,,15.15
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 5,2.7171,46,11,0,1,0,0,0,1,,16.93
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 4,4.8401,112,20,4,0,0,0,0,0,,23.14
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 3,4.4754,154,29,3,0,0,0,0,0,,34.41
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 2,3.288,58,11,1,0,0,0,0,0,,17.64
2025_MA5_2,2,2025-02-23,"BERNARDINI, RICCARDO",P,C,Minor,S,Stage 1,3.0046,85,14,8,1,0,1,0,0,,28.29
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 8,5.3484,142,28,4,0,0,0,1,0,,26.55
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 7,3.1463,60,12,0,0,0,0,0,0,,19.07
2025_MA5_2,2,2025-02-23,"SANTORO, AGOSTINO",P,C,Minor,S,Stage 6,2.0427,22,7,2,1,0,2,0,0,,10.77
2025_MA5_2,2,2025-02-23,"CARUSO, FABIO",P,A,Minor,S,Stage 8,5.4884,118,24,6,0,0,2,0,0,,21.5
2025_MA5_2,2,2025-02-23,"GAFFORIO, SIMONE",P,C,Minor,,Stage 7,3.5003,58,11,1,0,0,0,0,0,,16.57
2025_MA5_2,2,2025-02-23,"DELLA MANNA, ANGELO",S,C,Minor,SS,Stage 4,4.9252,112,20,4,0,0,0,0,0,,22.74
